item,group_column,group_A,group_B,n_X,n_Y,sigma,rep,rho_frobenius_change,alpha,beta,delta_alpha,delta_beta
ry9,grade,6,7,16103,14724,0.001,0,0.007264700850747525,48.90724587982469,2145.87690405814,0.005862701236502232,0.307673163398249
ry9,grade,6,7,16103,14724,0.001,1,0.00807744130055434,48.89166588597899,2147.4655505505457,0.009717292609202843,1.8963196558038362
ry9,grade,6,7,16103,14724,0.001,2,0.008576060860236689,48.895099264063184,2141.744278240486,0.006283914525006651,3.824952654255867
ry9,grade,6,7,16103,14724,0.001,3,0.006956230890465555,48.892258523280255,2141.446911919139,0.009124655307935825,4.122318975602866
ry9,grade,6,7,16103,14724,0.001,4,0.007594419701375548,48.85565704764084,2138.343159645181,0.045726130947350896,7.226071249560846
ry9,grade,6,7,16103,14724,0.001,5,0.006699378249238479,48.860045502367576,2137.5757177573014,0.04133767622061413,7.993513137440459
ry9,grade,6,7,16103,14724,0.001,6,0.007406571967622092,48.91643910473774,2146.5799978240234,0.015055926149550203,1.0107669292815444
ry9,grade,6,7,16103,14724,0.001,7,0.00874207687331475,48.858835738620364,2139.447523842821,0.042547439967826506,6.121707051921021
ry9,grade,6,7,16103,14724,0.001,8,0.006675439323530703,48.896441269191676,2142.313383059701,0.004941909396514177,3.2558478350406403
ry9,grade,6,7,16103,14724,0.001,9,0.008100035072191843,48.90107461536522,2144.6611145410257,0.0003085632229726798,0.9081163537161956
ry9,grade,6,7,16103,14724,0.001,10,0.008544891529357435,48.93094647404644,2149.995183865912,0.02956329545825298,4.425952971170318
ry9,grade,6,7,16103,14724,0.001,11,0.008776310723481465,48.91379427711225,2144.8698977333906,0.01241109852406197,0.6993331613512055
ry9,grade,6,7,16103,14724,0.001,12,0.008021189857802445,48.91276083520673,2147.469868281675,0.011377656618542176,1.9006373869333402
ry9,grade,6,7,16103,14724,0.001,13,0.009290915962879408,48.882364908829345,2142.7569951128585,0.019018269758845463,2.8122357818833734
